"Gestao2_MUNICIPAL"	"Gestao2_MUNICIPAL.SP"	"logPropLeitosSUS"	"Percent_SUS_Total"	"Porte_MEDIO"	"Porte_PEQUENO"	"TipoGestao2_Direta"	"TipoGestao2_Santa.Casa"	"TipoGestao2_Terceirizada"	"Total_Leitos"
0	0	1.99563519459755	0	0	1	0	0	1	3.55882106693848
0	0	1.99563519459755	0	0	1	0	0	1	1.16123174033905
0	0	1.99563519459755	0	0	0	0	0	1	6.63226904076889
0	0	1.99563519459755	0	0	0	0	0	1	7.3697673221969
0	0	1.99563519459755	0	0	0	0	0	1	7.01177397167991
0	0	1.99563519459755	0	0	0	0	0	1	7.24787484248138
0	0	1.34838952909422	-0.0329069607057868	0	0	0	0	1	7.49095326621298
0	0	0.851190552542768	-0.107808750295494	0	0	0	0	1	7.59885795504643
0	0	1.99563519459755	0	0	0	0	0	0	7.03674888174537
0	0	1.99563519459755	0	0	0	0	0	1	6.68290386219036
0	0	1.99563519459755	0	1	0	0	0	1	6.37953166780566
0	0	1.99563519459755	0	1	0	0	0	1	6.34383205077422
0	0	1.99563519459755	0	1	0	0	0	1	5.66531025721845
0	0	1.99563519459755	0	1	0	0	0	1	5.44006315872738
0	0	1.99563519459755	0	0	1	0	0	1	3.42379650962106
0	0	-1.77165029228306	-0.454537778175766	0	0	0	0	0	9.71257561267046
1	0	0.119523229687673	-0.322685748722363	1	0	0	0	1	5.61168734630639
1	0	-0.0335543192089676	-0.36399192493015	0	0	0	1	0	8.73582067026978
1	0	0.429025752724483	-0.224803423259902	0	1	0	0	1	4.05115826483647
0	0	1.99563519459755	0	0	0	1	0	0	6.6219735770525
0	0	0.486097788345074	-0.206714970710389	1	0	1	0	0	5.55635370826328
1	0	1.99563519459755	0	0	1	0	0	1	4.78757636628315
1	0	0.186405837704709	-0.302519178216414	1	0	0	1	0	5.8803480696499
0	0	1.99563519459755	0	1	0	1	0	0	5.49918987548339
0	0	1.99563519459755	0	1	0	1	0	0	4.90182215342448
0	0	1.99563519459755	0	0	0	1	0	0	7.37670275448417
0	0	0.855953357879233	-0.106767344476513	0	0	1	0	0	6.9172638514936
0	0	1.99563519459755	0	0	0	0	0	0	8.9996695438771
0	0	0.894161445291752	-0.0986626338298207	1	0	1	0	0	4.98261036790351
0	0	1.99563519459755	0	0	0	1	0	0	7.38361336312346
