"CNES"	"Gestao2_MUNICIPAL"	"Gestao2_MUNICIPAL.SP"	"Percent_SUS_classe_Alto"	"Percent_SUS_classe_Medio"	"Porte_Grande"	"Porte_Medio"	"TipoGestao2_Direta"	"TipoGestao2_Santa.Casa"	"TipoGestao2_Terceirizada"
"2746220"	0	0	1	0	0	0	0	0	1
"2092107"	0	0	1	0	0	0	0	0	1
"2079410"	0	0	1	0	1	0	0	0	1
"0008052"	0	0	1	0	1	0	0	0	1
"2077434"	0	0	1	0	1	0	0	0	1
"2079720"	0	0	1	0	1	0	0	0	1
"2091755"	0	0	0	1	1	0	0	0	1
"2082225"	0	0	0	1	1	0	0	0	1
"2076926"	0	0	1	0	1	0	1	0	0
"2077701"	0	0	1	0	1	0	0	0	1
"2078287"	0	0	1	0	0	1	0	0	1
"2077418"	0	0	1	0	0	1	0	0	1
"2065665"	0	0	1	0	0	1	0	0	1
"2688514"	0	0	1	0	0	1	0	0	1
"2068974"	0	0	1	0	0	0	0	0	1
"2058502"	0	0	0	0	1	0	1	0	0
"2025477"	1	0	0	0	0	1	0	0	1
"2025752"	1	0	0	0	1	0	0	1	0
"2080184"	1	0	0	1	0	0	0	0	1
"2079194"	0	0	1	0	1	0	1	0	0
"2790734"	0	0	0	1	0	1	1	0	0
"2078538"	1	0	1	0	0	0	0	0	1
"2751704"	1	0	0	0	0	1	0	1	0
"2090309"	0	0	1	0	0	1	1	0	0
"7580770"	0	0	1	0	0	1	1	0	0
"2080192"	0	0	1	0	1	0	1	0	0
"2084236"	0	0	0	1	1	0	1	0	0
"2079798"	0	0	1	0	1	0	1	0	0
"2750511"	0	0	0	1	0	1	1	0	0
"2091275"	0	0	1	0	1	0	1	0	0
"2091313"	0	0	0	1	1	0	1	0	0
"2812703"	0	0	1	0	0	1	1	0	0
"2078031"	0	0	1	0	1	0	0	0	1
"2071371"	0	0	1	0	0	1	1	0	0
"6123740"	0	0	1	0	1	0	0	0	1
"2028840"	0	0	1	0	1	0	0	0	1
"2077957"	0	0	1	0	0	0	1	0	0
"2091356"	0	0	1	0	0	0	1	0	0
"2698471"	1	0	1	0	0	1	1	0	0
"2698463"	1	0	0	1	0	1	1	0	0
"2081725"	0	0	1	0	1	0	1	0	0
"2066572"	0	0	1	0	1	0	1	0	0
"3021378"	1	0	0	1	0	1	1	0	0
"7371349"	1	0	0	1	0	1	1	0	0
"6966594"	1	0	0	0	0	1	1	0	0
"2080346"	0	1	0	1	1	0	1	0	0
"2786680"	0	1	0	1	1	0	1	0	0
"5718368"	0	1	0	1	1	0	0	0	1
"2082829"	0	1	0	1	1	0	1	0	0
"0102105"	0	1	1	0	1	0	0	0	1
"2081970"	0	1	1	0	1	0	1	0	0
"2079186"	0	1	1	0	1	0	1	0	0
"2080583"	0	1	0	1	1	0	1	0	0
